sourceId,targetId
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|CONTACT_DATE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|CONTACT_NUM
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DEFAULT_GEST_AGE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DM_ALERT_SIGN_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DOSING_BSA
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DOSING_HEIGHT
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DOSING_WEIGHT
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_ALLERGY_GRP_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_DIS_SEV_NDDF_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_BASICLVL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_BASIC_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_FDDB_SVR_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_GS_PRES_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_GS_RXTX_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_GS_RX_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_GS_SVR_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_GS_WFG_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_NDDF_SVR_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DRUG_INT_SVRTY_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DUP_ALERT_ALLOW
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DUP_ALERT_CLS_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|DUP_ALERT_SIGN_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|GERI_ALRT_SEV_LVL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|HT_RECORD_DATETIME
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|HT_SOURCE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IMMUNIZATION_LPL_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IMPORTANCE_LVL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|INACT_INGRED_IND_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|INACT_REVIEW_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|INT_DTMS_FDDB_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|INT_MANAGE_CODE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IS_NONFILTERED_FLAG
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IVCHEK_CSRATING_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IVCHEK_ENC
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IVCHEK_SOLUTION_NUM
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|IV_TEST_RESULT_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|LACT_ALRT_SEV_LVL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|LA_AAP_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|LA_CODE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|LA_RATING_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|NDC_ENC_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|ORDER_CONTEXT_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|OVERALL_OVR_CMNT
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|OVERALL_OVR_RSN_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|OVERRIDDEN_INT_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PATIENT_DEP_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PA_BRIGGS_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PA_FDA_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PA_PTCODE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PEDI_ALRT_SEV_LVL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PRC_MANAGE_LEVEL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PREG_ALRT_SIG_LVL_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|PROVIDER_TYPE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SCANNED_BARCODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SHOWN_PLACE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SIGN_OFF_COMMENT
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SIGN_OFF_DATETIME
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SIGN_OFF_EMP_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SPECIFIC_DEFR_RSN_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SPEC_OVR_CMNT
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SPEC_OVR_RSN_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|SYS_INTSET_ENC
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|TPN_COMPONENT_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|TPN_COMPONENT_VAL
